======= CHAIN =======
Type         : hydroosmotic
Total length : 1156.1496896870494
Current Time : 0
Screening lengths : 
        xi_s = 49.556327855360166
        xi_v = 4955.632785536016
Permeation times :
       tau_s = 1.0
       tau_v = 1.0
======= LUMENS =======
Nb lumens : 100
Lumen 0 is at position 0.000 with length 0.000 and 0.000 ions with pumping 0.000
Lumen 1 is at position 10.792 with length 0.792 and 1.028 ions with pumping 0.000
Lumen 2 is at position 20.218 with length 0.853 and 1.193 ions with pumping 0.000
Lumen 3 is at position 31.649 with length 0.872 and 1.245 ions with pumping 0.000
Lumen 4 is at position 44.358 with length 0.888 and 1.290 ions with pumping 0.000
Lumen 5 is at position 58.281 with length 0.683 and 0.764 ions with pumping 0.000
Lumen 6 is at position 67.732 with length 0.807 and 1.067 ions with pumping 0.000
Lumen 7 is at position 81.264 with length 0.666 and 0.727 ions with pumping 0.000
Lumen 8 is at position 92.932 with length 0.768 and 0.967 ions with pumping 0.000
Lumen 9 is at position 103.019 with length 0.900 and 1.326 ions with pumping 0.000
Lumen 10 is at position 114.286 with length 0.690 and 0.781 ions with pumping 0.000
Lumen 11 is at position 122.305 with length 0.846 and 1.172 ions with pumping 0.000
Lumen 12 is at position 134.888 with length 0.779 and 0.995 ions with pumping 0.000
Lumen 13 is at position 145.169 with length 0.804 and 1.059 ions with pumping 0.000
Lumen 14 is at position 156.966 with length 0.738 and 0.893 ions with pumping 0.000
Lumen 15 is at position 169.675 with length 0.831 and 1.132 ions with pumping 0.000
Lumen 16 is at position 182.365 with length 0.855 and 1.197 ions with pumping 0.000
Lumen 17 is at position 193.225 with length 0.748 and 0.916 ions with pumping 0.000
Lumen 18 is at position 202.542 with length 0.823 and 1.108 ions with pumping 0.000
Lumen 19 is at position 217.520 with length 0.723 and 0.857 ions with pumping 0.000
Lumen 20 is at position 226.925 with length 0.840 and 1.156 ions with pumping 0.000
Lumen 21 is at position 237.332 with length 0.781 and 1.000 ions with pumping 0.000
Lumen 22 is at position 248.522 with length 0.787 and 1.014 ions with pumping 0.000
Lumen 23 is at position 260.739 with length 0.751 and 0.924 ions with pumping 0.000
Lumen 24 is at position 271.940 with length 0.850 and 1.183 ions with pumping 0.000
Lumen 25 is at position 285.917 with length 0.842 and 1.160 ions with pumping 0.000
Lumen 26 is at position 300.000 with length 0.805 and 1.060 ions with pumping 0.000
Lumen 27 is at position 312.820 with length 0.721 and 0.852 ions with pumping 0.000
Lumen 28 is at position 326.137 with length 0.752 and 0.926 ions with pumping 0.000
Lumen 29 is at position 337.059 with length 0.802 and 1.054 ions with pumping 0.000
Lumen 30 is at position 351.339 with length 0.768 and 0.967 ions with pumping 0.000
Lumen 31 is at position 359.833 with length 0.865 and 1.226 ions with pumping 0.000
Lumen 32 is at position 375.054 with length 0.750 and 0.922 ions with pumping 0.000
Lumen 33 is at position 384.493 with length 0.751 and 0.925 ions with pumping 0.000
Lumen 34 is at position 395.826 with length 0.651 and 0.694 ions with pumping 0.000
Lumen 35 is at position 404.902 with length 0.771 and 0.974 ions with pumping 0.000
Lumen 36 is at position 416.801 with length 0.735 and 0.885 ions with pumping 0.000
Lumen 37 is at position 425.278 with length 0.713 and 0.832 ions with pumping 0.000
Lumen 38 is at position 437.708 with length 0.784 and 1.007 ions with pumping 0.000
Lumen 39 is at position 450.521 with length 0.795 and 1.036 ions with pumping 0.000
Lumen 40 is at position 464.280 with length 0.771 and 0.973 ions with pumping 0.000
Lumen 41 is at position 476.478 with length 0.756 and 0.936 ions with pumping 0.000
Lumen 42 is at position 486.911 with length 0.862 and 1.217 ions with pumping 0.000
Lumen 43 is at position 497.236 with length 0.770 and 0.970 ions with pumping 0.000
Lumen 44 is at position 508.156 with length 0.774 and 0.982 ions with pumping 0.000
Lumen 45 is at position 522.630 with length 0.797 and 1.040 ions with pumping 0.000
Lumen 46 is at position 537.081 with length 0.856 and 1.201 ions with pumping 0.000
Lumen 47 is at position 550.316 with length 0.728 and 0.868 ions with pumping 0.000
Lumen 48 is at position 558.435 with length 0.793 and 1.031 ions with pumping 0.000
Lumen 49 is at position 568.090 with length 0.860 and 1.211 ions with pumping 0.000
Lumen 50 is at position 579.766 with length 0.769 and 0.969 ions with pumping 0.000
Lumen 51 is at position 588.737 with length 0.685 and 0.769 ions with pumping 0.000
