# x	d(x)
3.295309699240468460e-01 2.000000000000000096e-04
3.349084935270640329e-01 4.000000000000000192e-04
3.402860171300812198e-01 6.000000000000000559e-04
3.456635407330984622e-01 2.100000000000000304e-03
3.510410643361157046e-01 3.999999999999997481e-03
3.564185879391328915e-01 7.300000000000006137e-03
3.617961115421500784e-01 1.389999999999997141e-02
3.671736351451673208e-01 2.149999999999992542e-02
3.725511587481845632e-01 3.259999999999990683e-02
3.779286823512017501e-01 4.200000000000017608e-02
3.833062059542189370e-01 5.460000000000053699e-02
3.886837295572361795e-01 6.490000000000083202e-02
3.940612531602533664e-01 6.980000000000097238e-02
3.994387767632706088e-01 7.770000000000119866e-02
4.048163003662877957e-01 8.650000000000145073e-02
4.101938239693050381e-01 9.120000000000158535e-02
4.155713475723222250e-01 7.760000000000119580e-02
4.209488711753394674e-01 7.190000000000103253e-02
4.263263947783566543e-01 6.230000000000075755e-02
4.317039183813738967e-01 5.850000000000064870e-02
4.370814419843910836e-01 4.770000000000033935e-02
4.424589655874082705e-01 4.480000000000025628e-02
4.478364891904255130e-01 2.839999999999988367e-02
4.532140127934427554e-01 1.779999999999994781e-02
4.585915363964599423e-01 1.059999999999999137e-02
4.639690599994771292e-01 7.800000000000007448e-03
4.693465836024943716e-01 2.200000000000000133e-03
4.747241072055115585e-01 8.000000000000001468e-04
4.801016308085288009e-01 1.000000000000000048e-04
4.854791544115459878e-01 2.000000000000000096e-04
